o_node,d_node,origin,destination,travel_time,iteration,edge_type
1382-0-4-58,1021-0-99-99,1382,1021,136.0,2,Inner Subway Station
1571-0-4-58,1021-0-99-99,1571,1021,132.0,2,Inner Subway Station
1232-0-4-58,1022-0-99-99,1232,1022,112.0,2,Inner Subway Station
1175-0-4-58,1023-0-99-99,1175,1023,88.0,2,Inner Subway Station
1018-0-4-58,1034-0-99-99,1018,1034,33.0,2,Inner Subway Station
1518-0-4-58,1034-0-99-99,1518,1034,110.0,2,Inner Subway Station
1590-0-4-58,1034-0-99-99,1590,1034,130.0,2,Inner Subway Station
1250-0-4-58,1035-0-99-99,1250,1035,63.0,2,Inner Subway Station
1214-0-4-58,1036-0-99-99,1214,1036,105.0,2,Inner Subway Station
1219-0-4-58,1036-0-99-99,1219,1036,103.0,2,Inner Subway Station
1574-0-4-58,1036-0-99-99,1574,1036,145.0,2,Inner Subway Station
1591-0-4-58,1036-0-99-99,1591,1036,128.0,2,Inner Subway Station
1131-0-4-58,1037-0-99-99,1131,1037,118.0,2,Inner Subway Station
1238-0-4-58,1037-0-99-99,1238,1037,103.0,2,Inner Subway Station
1285-0-4-58,1037-0-99-99,1285,1037,97.0,2,Inner Subway Station
1406-0-4-58,1037-0-99-99,1406,1037,123.0,2,Inner Subway Station
1131-0-4-58,1038-0-99-99,1131,1038,117.0,2,Inner Subway Station
1389-0-4-58,1038-0-99-99,1389,1038,109.0,2,Inner Subway Station
1422-0-4-58,1038-0-99-99,1422,1038,91.0,2,Inner Subway Station
1559-0-4-58,1038-0-99-99,1559,1038,99.0,2,Inner Subway Station
1076-0-4-58,1042-0-99-99,1076,1042,39.0,2,Inner Subway Station
1245-0-4-58,1042-0-99-99,1245,1042,90.0,2,Inner Subway Station
1090-0-4-58,1043-0-99-99,1090,1043,46.0,2,Inner Subway Station
1427-0-4-58,1043-0-99-99,1427,1043,93.0,2,Inner Subway Station
1250-0-4-58,1045-0-99-99,1250,1045,63.0,2,Inner Subway Station
1214-0-4-58,1046-0-99-99,1214,1046,86.0,2,Inner Subway Station
1411-0-4-58,1046-0-99-99,1411,1046,117.0,2,Inner Subway Station
1313-0-4-58,1047-0-99-99,1313,1047,78.0,2,Inner Subway Station
1520-0-4-58,1047-0-99-99,1520,1047,97.0,2,Inner Subway Station
1574-0-4-58,1049-0-99-99,1574,1049,140.0,2,Inner Subway Station
1252-0-4-58,1050-0-99-99,1252,1050,46.0,2,Inner Subway Station
1522-0-4-58,1050-0-99-99,1522,1050,96.0,2,Inner Subway Station
1280-0-4-58,1051-0-99-99,1280,1051,45.0,2,Inner Subway Station
1328-0-4-58,1051-0-99-99,1328,1051,83.0,2,Inner Subway Station
1266-0-4-58,1052-0-99-99,1266,1052,54.0,2,Inner Subway Station
1447-0-4-58,1052-0-99-99,1447,1052,114.0,2,Inner Subway Station
1464-0-4-58,1052-0-99-99,1464,1052,114.0,2,Inner Subway Station
1495-0-4-58,1052-0-99-99,1495,1052,101.0,2,Inner Subway Station
1538-0-4-58,1052-0-99-99,1538,1052,98.0,2,Inner Subway Station
1591-0-4-58,1055-0-99-99,1591,1055,123.0,2,Inner Subway Station
1425-0-4-58,1056-0-99-99,1425,1056,97.0,2,Inner Subway Station
1444-0-4-58,1056-0-99-99,1444,1056,105.0,2,Inner Subway Station
1619-0-4-58,1056-0-99-99,1619,1056,151.0,2,Inner Subway Station
1200-0-4-58,1057-0-99-99,1200,1057,94.0,2,Inner Subway Station
1277-0-4-58,1057-0-99-99,1277,1057,67.0,2,Inner Subway Station
1539-0-4-58,1057-0-99-99,1539,1057,96.0,2,Inner Subway Station
1601-0-4-58,1057-0-99-99,1601,1057,134.0,2,Inner Subway Station
1122-0-4-58,1058-0-99-99,1122,1058,87.0,2,Inner Subway Station
1270-0-4-58,1058-0-99-99,1270,1058,58.0,2,Inner Subway Station
1450-0-4-58,1058-0-99-99,1450,1058,109.0,2,Inner Subway Station
1411-0-4-58,1059-0-99-99,1411,1059,121.0,2,Inner Subway Station
1090-0-4-58,1060-0-99-99,1090,1060,36.0,2,Inner Subway Station
1484-0-4-58,1062-0-99-99,1484,1062,133.0,2,Inner Subway Station
1544-0-4-58,1063-0-99-99,1544,1063,101.0,2,Inner Subway Station
1621-0-4-58,1063-0-99-99,1621,1063,153.0,2,Inner Subway Station
1110-0-4-58,1065-0-99-99,1110,1065,49.0,2,Inner Subway Station
1122-0-4-58,1065-0-99-99,1122,1065,90.0,2,Inner Subway Station
1202-0-4-58,1065-0-99-99,1202,1065,87.0,2,Inner Subway Station
1424-0-4-58,1065-0-99-99,1424,1065,82.0,2,Inner Subway Station
1572-0-4-58,1065-0-99-99,1572,1065,153.0,2,Inner Subway Station
1122-0-4-58,1066-0-99-99,1122,1066,88.0,2,Inner Subway Station
1263-0-4-58,1067-0-99-99,1263,1067,91.0,2,Inner Subway Station
1120-0-4-58,1068-0-99-99,1120,1068,60.0,2,Inner Subway Station
1330-0-4-58,1068-0-99-99,1330,1068,85.0,2,Inner Subway Station
1602-0-4-58,1068-0-99-99,1602,1068,135.0,2,Inner Subway Station
1606-0-4-58,1068-0-99-99,1606,1068,116.0,2,Inner Subway Station
1483-0-4-58,1070-0-99-99,1483,1070,110.0,2,Inner Subway Station
1510-0-4-58,1076-0-99-99,1510,1076,119.0,2,Inner Subway Station
1600-0-4-58,1076-0-99-99,1600,1076,131.0,2,Inner Subway Station
1039-0-4-58,1078-0-99-99,1039,1078,44.0,2,Inner Subway Station
1524-0-4-58,1078-0-99-99,1524,1078,120.0,2,Inner Subway Station
1562-0-4-58,1078-0-99-99,1562,1078,160.0,2,Inner Subway Station
1365-0-4-58,1080-0-99-99,1365,1080,91.0,2,Inner Subway Station
1143-0-4-58,1085-0-99-99,1143,1085,93.0,2,Inner Subway Station
1513-0-4-58,1090-0-99-99,1513,1090,122.0,2,Inner Subway Station
1132-0-4-58,1104-0-99-99,1132,1104,53.0,2,Inner Subway Station
1389-0-4-58,1113-0-99-99,1389,1113,117.0,2,Inner Subway Station
1286-0-4-58,1114-0-99-99,1286,1114,51.0,2,Inner Subway Station
1022-0-4-58,1116-0-99-99,1022,1116,39.0,2,Inner Subway Station
1400-0-4-58,1118-0-99-99,1400,1118,110.0,2,Inner Subway Station
1116-0-4-58,1124-0-99-99,1116,1124,26.0,2,Inner Subway Station
1412-0-4-58,1139-0-99-99,1412,1139,92.0,2,Inner Subway Station
1524-0-4-58,1141-0-99-99,1524,1141,129.0,2,Inner Subway Station
1046-0-4-58,1142-0-99-99,1046,1142,80.0,2,Inner Subway Station
1130-0-4-58,1145-0-99-99,1130,1145,35.0,2,Inner Subway Station
1153-0-4-58,1146-0-99-99,1153,1146,77.0,2,Inner Subway Station
1382-0-4-58,1150-0-99-99,1382,1150,115.0,2,Inner Subway Station
1133-0-4-58,1156-0-99-99,1133,1156,86.0,2,Inner Subway Station
1572-0-4-58,1157-0-99-99,1572,1157,168.0,2,Inner Subway Station
1544-0-4-58,1160-0-99-99,1544,1160,118.0,2,Inner Subway Station
1176-0-4-58,1168-0-99-99,1176,1168,42.0,2,Inner Subway Station
1212-0-4-58,1170-0-99-99,1212,1170,97.0,2,Inner Subway Station
1588-0-4-58,1180-0-99-99,1588,1180,125.0,2,Inner Subway Station
1595-0-4-58,1187-0-99-99,1595,1187,106.0,2,Inner Subway Station
1186-0-4-58,1202-0-99-99,1186,1202,30.0,2,Inner Subway Station
1223-0-4-58,1203-0-99-99,1223,1203,93.0,2,Inner Subway Station
1139-0-4-58,1211-0-99-99,1139,1211,67.0,2,Inner Subway Station
1166-0-4-58,1218-0-99-99,1166,1218,101.0,2,Inner Subway Station
1523-0-4-58,1218-0-99-99,1523,1218,81.0,2,Inner Subway Station
1554-0-4-58,1218-0-99-99,1554,1218,136.0,2,Inner Subway Station
1620-0-4-58,1220-0-99-99,1620,1220,139.0,2,Inner Subway Station
1197-0-4-58,1227-0-99-99,1197,1227,38.0,2,Inner Subway Station
1233-0-4-58,1227-0-99-99,1233,1227,103.0,2,Inner Subway Station
1560-0-4-58,1243-0-99-99,1560,1243,63.0,2,Inner Subway Station
1575-0-4-58,1243-0-99-99,1575,1243,130.0,2,Inner Subway Station
1224-0-4-58,1247-0-99-99,1224,1247,83.0,2,Inner Subway Station
1251-0-4-58,1247-0-99-99,1251,1247,54.0,2,Inner Subway Station
1524-0-4-58,1253-0-99-99,1524,1253,100.0,2,Inner Subway Station
1383-0-4-58,1260-0-99-99,1383,1260,160.0,2,Inner Subway Station
1110-0-4-58,1272-0-99-99,1110,1272,67.0,2,Inner Subway Station
1250-0-4-58,1275-0-99-99,1250,1275,43.0,2,Inner Subway Station
1144-0-4-58,1277-0-99-99,1144,1277,105.0,2,Inner Subway Station
1347-0-4-58,1285-0-99-99,1347,1285,82.0,2,Inner Subway Station
1431-0-4-58,1285-0-99-99,1431,1285,137.0,2,Inner Subway Station
1544-0-4-58,1298-0-99-99,1544,1298,132.0,2,Inner Subway Station
1131-0-4-58,1299-0-99-99,1131,1299,124.0,2,Inner Subway Station
1271-0-4-58,1307-0-99-99,1271,1307,94.0,2,Inner Subway Station
1290-0-4-58,1307-0-99-99,1290,1307,84.0,2,Inner Subway Station
1353-0-4-58,1307-0-99-99,1353,1307,48.0,2,Inner Subway Station
1458-0-4-58,1313-0-99-99,1458,1313,131.0,2,Inner Subway Station
1124-0-4-58,1317-0-99-99,1124,1317,33.0,2,Inner Subway Station
1326-0-4-58,1317-0-99-99,1326,1317,63.0,2,Inner Subway Station
1133-0-4-58,1331-0-99-99,1133,1331,104.0,2,Inner Subway Station
1177-0-4-58,1355-0-99-99,1177,1355,106.0,2,Inner Subway Station
1110-0-4-58,1356-0-99-99,1110,1356,99.0,2,Inner Subway Station
1039-0-4-58,1357-0-99-99,1039,1357,103.0,2,Inner Subway Station
1385-0-4-58,1358-0-99-99,1385,1358,100.0,2,Inner Subway Station
1021-0-4-58,1361-0-99-99,1021,1361,109.0,2,Inner Subway Station
1062-0-4-58,1371-0-99-99,1062,1371,116.0,2,Inner Subway Station
1173-0-4-58,1378-0-99-99,1173,1378,128.0,2,Inner Subway Station
1232-0-4-58,1378-0-99-99,1232,1378,152.0,2,Inner Subway Station
1342-0-4-58,1378-0-99-99,1342,1378,107.0,2,Inner Subway Station
1351-0-4-58,1379-0-99-99,1351,1379,101.0,2,Inner Subway Station
1021-0-4-58,1386-0-99-99,1021,1386,117.0,2,Inner Subway Station
1249-0-4-58,1388-0-99-99,1249,1388,165.0,2,Inner Subway Station
1396-0-4-58,1388-0-99-99,1396,1388,89.0,2,Inner Subway Station
1538-0-4-58,1388-0-99-99,1538,1388,165.0,2,Inner Subway Station
1445-0-4-58,1391-0-99-99,1445,1391,68.0,2,Inner Subway Station
1265-0-4-58,1393-0-99-99,1265,1393,122.0,2,Inner Subway Station
1531-0-4-58,1393-0-99-99,1531,1393,142.0,2,Inner Subway Station
1173-0-4-58,1394-0-99-99,1173,1394,90.0,2,Inner Subway Station
1401-0-4-58,1395-0-99-99,1401,1395,38.0,2,Inner Subway Station
1140-0-4-58,1402-0-99-99,1140,1402,93.0,2,Inner Subway Station
1173-0-4-58,1402-0-99-99,1173,1402,105.0,2,Inner Subway Station
1400-0-4-58,1402-0-99-99,1400,1402,55.0,2,Inner Subway Station
1415-0-4-58,1402-0-99-99,1415,1402,81.0,2,Inner Subway Station
1423-0-4-58,1411-0-99-99,1423,1411,87.0,2,Inner Subway Station
1407-0-4-58,1415-0-99-99,1407,1415,48.0,2,Inner Subway Station
1606-0-4-58,1415-0-99-99,1606,1415,136.0,2,Inner Subway Station
1381-0-4-58,1421-0-99-99,1381,1421,115.0,2,Inner Subway Station
1041-0-4-58,1423-0-99-99,1041,1423,80.0,2,Inner Subway Station
1062-0-4-58,1442-0-99-99,1062,1442,94.0,2,Inner Subway Station
1482-0-4-58,1472-0-99-99,1482,1472,89.0,2,Inner Subway Station
1538-0-4-58,1476-0-99-99,1538,1476,111.0,2,Inner Subway Station
1583-0-4-58,1481-0-99-99,1583,1481,84.0,2,Inner Subway Station
1524-0-4-58,1486-0-99-99,1524,1486,79.0,2,Inner Subway Station
1531-0-4-58,1490-0-99-99,1531,1490,79.0,2,Inner Subway Station
1366-0-4-58,1492-0-99-99,1366,1492,128.0,2,Inner Subway Station
1579-0-4-58,1492-0-99-99,1579,1492,38.0,2,Inner Subway Station
1513-0-4-58,1503-0-99-99,1513,1503,51.0,2,Inner Subway Station
1021-0-4-58,1519-0-99-99,1021,1519,90.0,2,Inner Subway Station
1495-0-4-58,1529-0-99-99,1495,1529,84.0,2,Inner Subway Station
1428-0-4-58,1530-0-99-99,1428,1530,110.0,2,Inner Subway Station
1443-0-4-58,1530-0-99-99,1443,1530,106.0,2,Inner Subway Station
1577-0-4-58,1536-0-99-99,1577,1536,125.0,2,Inner Subway Station
1569-0-4-58,1543-0-99-99,1569,1543,92.0,2,Inner Subway Station
1182-0-4-58,1544-0-99-99,1182,1544,118.0,2,Inner Subway Station
1021-0-4-58,1545-0-99-99,1021,1545,87.0,2,Inner Subway Station
1515-0-4-58,1561-0-99-99,1515,1561,42.0,2,Inner Subway Station
1245-0-4-58,1582-0-99-99,1245,1582,105.0,2,Inner Subway Station
1154-0-4-58,1599-0-99-99,1154,1599,132.0,2,Inner Subway Station
1562-0-4-58,1607-0-99-99,1562,1607,76.0,2,Inner Subway Station
1436-0-4-58,1081-0-99-99,1436,1081,117.0,2,Inner Subway Station
1506-0-4-58,1002-0-99-99,1506,1002,99.0,3,Inner Subway Station
1126-0-4-58,1006-0-99-99,1126,1006,81.0,3,Inner Subway Station
1243-0-4-58,1021-0-99-99,1243,1021,99.0,3,Inner Subway Station
1382-0-4-58,1021-0-99-99,1382,1021,136.0,3,Inner Subway Station
1571-0-4-58,1021-0-99-99,1571,1021,132.0,3,Inner Subway Station
1232-0-4-58,1022-0-99-99,1232,1022,122.0,3,Inner Subway Station
1175-0-4-58,1023-0-99-99,1175,1023,88.0,3,Inner Subway Station
1018-0-4-58,1034-0-99-99,1018,1034,33.0,3,Inner Subway Station
1518-0-4-58,1034-0-99-99,1518,1034,110.0,3,Inner Subway Station
1590-0-4-58,1034-0-99-99,1590,1034,130.0,3,Inner Subway Station
1250-0-4-58,1035-0-99-99,1250,1035,63.0,3,Inner Subway Station
1214-0-4-58,1036-0-99-99,1214,1036,105.0,3,Inner Subway Station
1219-0-4-58,1036-0-99-99,1219,1036,105.0,3,Inner Subway Station
1574-0-4-58,1036-0-99-99,1574,1036,145.0,3,Inner Subway Station
1591-0-4-58,1036-0-99-99,1591,1036,128.0,3,Inner Subway Station
1131-0-4-58,1037-0-99-99,1131,1037,118.0,3,Inner Subway Station
1238-0-4-58,1037-0-99-99,1238,1037,103.0,3,Inner Subway Station
1285-0-4-58,1037-0-99-99,1285,1037,97.0,3,Inner Subway Station
1406-0-4-58,1037-0-99-99,1406,1037,123.0,3,Inner Subway Station
1131-0-4-58,1038-0-99-99,1131,1038,117.0,3,Inner Subway Station
1389-0-4-58,1038-0-99-99,1389,1038,113.0,3,Inner Subway Station
1422-0-4-58,1038-0-99-99,1422,1038,91.0,3,Inner Subway Station
1559-0-4-58,1038-0-99-99,1559,1038,99.0,3,Inner Subway Station
1076-0-4-58,1042-0-99-99,1076,1042,39.0,3,Inner Subway Station
1245-0-4-58,1042-0-99-99,1245,1042,90.0,3,Inner Subway Station
1090-0-4-58,1043-0-99-99,1090,1043,46.0,3,Inner Subway Station
1427-0-4-58,1043-0-99-99,1427,1043,100.0,3,Inner Subway Station
1250-0-4-58,1045-0-99-99,1250,1045,63.0,3,Inner Subway Station
1214-0-4-58,1046-0-99-99,1214,1046,94.0,3,Inner Subway Station
1411-0-4-58,1046-0-99-99,1411,1046,117.0,3,Inner Subway Station
1313-0-4-58,1047-0-99-99,1313,1047,78.0,3,Inner Subway Station
1520-0-4-58,1047-0-99-99,1520,1047,97.0,3,Inner Subway Station
1574-0-4-58,1049-0-99-99,1574,1049,140.0,3,Inner Subway Station
1252-0-4-58,1050-0-99-99,1252,1050,46.0,3,Inner Subway Station
1522-0-4-58,1050-0-99-99,1522,1050,96.0,3,Inner Subway Station
1280-0-4-58,1051-0-99-99,1280,1051,45.0,3,Inner Subway Station
1328-0-4-58,1051-0-99-99,1328,1051,83.0,3,Inner Subway Station
1266-0-4-58,1052-0-99-99,1266,1052,54.0,3,Inner Subway Station
1447-0-4-58,1052-0-99-99,1447,1052,126.0,3,Inner Subway Station
1464-0-4-58,1052-0-99-99,1464,1052,128.0,3,Inner Subway Station
1495-0-4-58,1052-0-99-99,1495,1052,101.0,3,Inner Subway Station
1538-0-4-58,1052-0-99-99,1538,1052,98.0,3,Inner Subway Station
1591-0-4-58,1055-0-99-99,1591,1055,123.0,3,Inner Subway Station
1425-0-4-58,1056-0-99-99,1425,1056,97.0,3,Inner Subway Station
1444-0-4-58,1056-0-99-99,1444,1056,123.0,3,Inner Subway Station
1619-0-4-58,1056-0-99-99,1619,1056,151.0,3,Inner Subway Station
1200-0-4-58,1057-0-99-99,1200,1057,94.0,3,Inner Subway Station
1277-0-4-58,1057-0-99-99,1277,1057,67.0,3,Inner Subway Station
1539-0-4-58,1057-0-99-99,1539,1057,96.0,3,Inner Subway Station
1601-0-4-58,1057-0-99-99,1601,1057,134.0,3,Inner Subway Station
1122-0-4-58,1058-0-99-99,1122,1058,87.0,3,Inner Subway Station
1270-0-4-58,1058-0-99-99,1270,1058,58.0,3,Inner Subway Station
1450-0-4-58,1058-0-99-99,1450,1058,120.0,3,Inner Subway Station
1411-0-4-58,1059-0-99-99,1411,1059,121.0,3,Inner Subway Station
1090-0-4-58,1060-0-99-99,1090,1060,36.0,3,Inner Subway Station
1484-0-4-58,1062-0-99-99,1484,1062,142.0,3,Inner Subway Station
1544-0-4-58,1063-0-99-99,1544,1063,101.0,3,Inner Subway Station
1621-0-4-58,1063-0-99-99,1621,1063,153.0,3,Inner Subway Station
1110-0-4-58,1065-0-99-99,1110,1065,49.0,3,Inner Subway Station
1122-0-4-58,1065-0-99-99,1122,1065,90.0,3,Inner Subway Station
1202-0-4-58,1065-0-99-99,1202,1065,87.0,3,Inner Subway Station
1424-0-4-58,1065-0-99-99,1424,1065,82.0,3,Inner Subway Station
1572-0-4-58,1065-0-99-99,1572,1065,153.0,3,Inner Subway Station
1122-0-4-58,1066-0-99-99,1122,1066,88.0,3,Inner Subway Station
1263-0-4-58,1067-0-99-99,1263,1067,91.0,3,Inner Subway Station
1120-0-4-58,1068-0-99-99,1120,1068,60.0,3,Inner Subway Station
1330-0-4-58,1068-0-99-99,1330,1068,85.0,3,Inner Subway Station
1602-0-4-58,1068-0-99-99,1602,1068,135.0,3,Inner Subway Station
1606-0-4-58,1068-0-99-99,1606,1068,116.0,3,Inner Subway Station
1483-0-4-58,1070-0-99-99,1483,1070,125.0,3,Inner Subway Station
1510-0-4-58,1076-0-99-99,1510,1076,119.0,3,Inner Subway Station
1600-0-4-58,1076-0-99-99,1600,1076,131.0,3,Inner Subway Station
1039-0-4-58,1078-0-99-99,1039,1078,44.0,3,Inner Subway Station
1524-0-4-58,1078-0-99-99,1524,1078,120.0,3,Inner Subway Station
1562-0-4-58,1078-0-99-99,1562,1078,160.0,3,Inner Subway Station
1365-0-4-58,1080-0-99-99,1365,1080,91.0,3,Inner Subway Station
1143-0-4-58,1085-0-99-99,1143,1085,93.0,3,Inner Subway Station
1513-0-4-58,1090-0-99-99,1513,1090,122.0,3,Inner Subway Station
1132-0-4-58,1104-0-99-99,1132,1104,53.0,3,Inner Subway Station
1389-0-4-58,1113-0-99-99,1389,1113,125.0,3,Inner Subway Station
1286-0-4-58,1114-0-99-99,1286,1114,51.0,3,Inner Subway Station
1022-0-4-58,1116-0-99-99,1022,1116,39.0,3,Inner Subway Station
1400-0-4-58,1118-0-99-99,1400,1118,110.0,3,Inner Subway Station
1116-0-4-58,1124-0-99-99,1116,1124,26.0,3,Inner Subway Station
1412-0-4-58,1139-0-99-99,1412,1139,92.0,3,Inner Subway Station
1524-0-4-58,1141-0-99-99,1524,1141,129.0,3,Inner Subway Station
1046-0-4-58,1142-0-99-99,1046,1142,80.0,3,Inner Subway Station
1130-0-4-58,1145-0-99-99,1130,1145,35.0,3,Inner Subway Station
1153-0-4-58,1146-0-99-99,1153,1146,77.0,3,Inner Subway Station
1382-0-4-58,1150-0-99-99,1382,1150,115.0,3,Inner Subway Station
1133-0-4-58,1156-0-99-99,1133,1156,86.0,3,Inner Subway Station
1572-0-4-58,1157-0-99-99,1572,1157,168.0,3,Inner Subway Station
1544-0-4-58,1160-0-99-99,1544,1160,118.0,3,Inner Subway Station
1176-0-4-58,1168-0-99-99,1176,1168,42.0,3,Inner Subway Station
1212-0-4-58,1170-0-99-99,1212,1170,100.0,3,Inner Subway Station
1588-0-4-58,1180-0-99-99,1588,1180,125.0,3,Inner Subway Station
1595-0-4-58,1187-0-99-99,1595,1187,106.0,3,Inner Subway Station
1186-0-4-58,1202-0-99-99,1186,1202,30.0,3,Inner Subway Station
1223-0-4-58,1203-0-99-99,1223,1203,93.0,3,Inner Subway Station
1139-0-4-58,1211-0-99-99,1139,1211,67.0,3,Inner Subway Station
1166-0-4-58,1218-0-99-99,1166,1218,101.0,3,Inner Subway Station
1523-0-4-58,1218-0-99-99,1523,1218,81.0,3,Inner Subway Station
1554-0-4-58,1218-0-99-99,1554,1218,136.0,3,Inner Subway Station
1620-0-4-58,1220-0-99-99,1620,1220,139.0,3,Inner Subway Station
1197-0-4-58,1227-0-99-99,1197,1227,38.0,3,Inner Subway Station
1233-0-4-58,1227-0-99-99,1233,1227,103.0,3,Inner Subway Station
1560-0-4-58,1243-0-99-99,1560,1243,63.0,3,Inner Subway Station
1575-0-4-58,1243-0-99-99,1575,1243,130.0,3,Inner Subway Station
1224-0-4-58,1247-0-99-99,1224,1247,83.0,3,Inner Subway Station
1251-0-4-58,1247-0-99-99,1251,1247,54.0,3,Inner Subway Station
1524-0-4-58,1253-0-99-99,1524,1253,100.0,3,Inner Subway Station
1383-0-4-58,1260-0-99-99,1383,1260,160.0,3,Inner Subway Station
1110-0-4-58,1272-0-99-99,1110,1272,67.0,3,Inner Subway Station
1250-0-4-58,1275-0-99-99,1250,1275,43.0,3,Inner Subway Station
1144-0-4-58,1277-0-99-99,1144,1277,105.0,3,Inner Subway Station
1347-0-4-58,1285-0-99-99,1347,1285,82.0,3,Inner Subway Station
1431-0-4-58,1285-0-99-99,1431,1285,146.0,3,Inner Subway Station
1544-0-4-58,1298-0-99-99,1544,1298,132.0,3,Inner Subway Station
1131-0-4-58,1299-0-99-99,1131,1299,124.0,3,Inner Subway Station
1271-0-4-58,1307-0-99-99,1271,1307,94.0,3,Inner Subway Station
1290-0-4-58,1307-0-99-99,1290,1307,84.0,3,Inner Subway Station
1353-0-4-58,1307-0-99-99,1353,1307,48.0,3,Inner Subway Station
1458-0-4-58,1313-0-99-99,1458,1313,131.0,3,Inner Subway Station
1124-0-4-58,1317-0-99-99,1124,1317,33.0,3,Inner Subway Station
1326-0-4-58,1317-0-99-99,1326,1317,63.0,3,Inner Subway Station
1133-0-4-58,1331-0-99-99,1133,1331,104.0,3,Inner Subway Station
1177-0-4-58,1355-0-99-99,1177,1355,106.0,3,Inner Subway Station
1110-0-4-58,1356-0-99-99,1110,1356,99.0,3,Inner Subway Station
1039-0-4-58,1357-0-99-99,1039,1357,103.0,3,Inner Subway Station
1385-0-4-58,1358-0-99-99,1385,1358,100.0,3,Inner Subway Station
1021-0-4-58,1361-0-99-99,1021,1361,109.0,3,Inner Subway Station
1062-0-4-58,1371-0-99-99,1062,1371,116.0,3,Inner Subway Station
1173-0-4-58,1378-0-99-99,1173,1378,128.0,3,Inner Subway Station
1232-0-4-58,1378-0-99-99,1232,1378,152.0,3,Inner Subway Station
1342-0-4-58,1378-0-99-99,1342,1378,107.0,3,Inner Subway Station
1351-0-4-58,1379-0-99-99,1351,1379,101.0,3,Inner Subway Station
1021-0-4-58,1386-0-99-99,1021,1386,117.0,3,Inner Subway Station
1249-0-4-58,1388-0-99-99,1249,1388,165.0,3,Inner Subway Station
1396-0-4-58,1388-0-99-99,1396,1388,89.0,3,Inner Subway Station
1538-0-4-58,1388-0-99-99,1538,1388,165.0,3,Inner Subway Station
1445-0-4-58,1391-0-99-99,1445,1391,68.0,3,Inner Subway Station
1265-0-4-58,1393-0-99-99,1265,1393,122.0,3,Inner Subway Station
1531-0-4-58,1393-0-99-99,1531,1393,142.0,3,Inner Subway Station
1173-0-4-58,1394-0-99-99,1173,1394,90.0,3,Inner Subway Station
1401-0-4-58,1395-0-99-99,1401,1395,38.0,3,Inner Subway Station
1140-0-4-58,1402-0-99-99,1140,1402,93.0,3,Inner Subway Station
1173-0-4-58,1402-0-99-99,1173,1402,105.0,3,Inner Subway Station
1400-0-4-58,1402-0-99-99,1400,1402,55.0,3,Inner Subway Station
1415-0-4-58,1402-0-99-99,1415,1402,81.0,3,Inner Subway Station
1423-0-4-58,1411-0-99-99,1423,1411,87.0,3,Inner Subway Station
1407-0-4-58,1415-0-99-99,1407,1415,48.0,3,Inner Subway Station
1606-0-4-58,1415-0-99-99,1606,1415,136.0,3,Inner Subway Station
1381-0-4-58,1421-0-99-99,1381,1421,115.0,3,Inner Subway Station
1041-0-4-58,1423-0-99-99,1041,1423,80.0,3,Inner Subway Station
1062-0-4-58,1442-0-99-99,1062,1442,94.0,3,Inner Subway Station
1482-0-4-58,1472-0-99-99,1482,1472,89.0,3,Inner Subway Station
1538-0-4-58,1476-0-99-99,1538,1476,111.0,3,Inner Subway Station
1583-0-4-58,1481-0-99-99,1583,1481,84.0,3,Inner Subway Station
1524-0-4-58,1486-0-99-99,1524,1486,79.0,3,Inner Subway Station
1531-0-4-58,1490-0-99-99,1531,1490,79.0,3,Inner Subway Station
1366-0-4-58,1492-0-99-99,1366,1492,128.0,3,Inner Subway Station
1579-0-4-58,1492-0-99-99,1579,1492,38.0,3,Inner Subway Station
1513-0-4-58,1503-0-99-99,1513,1503,51.0,3,Inner Subway Station
1021-0-4-58,1519-0-99-99,1021,1519,90.0,3,Inner Subway Station
1495-0-4-58,1529-0-99-99,1495,1529,84.0,3,Inner Subway Station
1428-0-4-58,1530-0-99-99,1428,1530,110.0,3,Inner Subway Station
1443-0-4-58,1530-0-99-99,1443,1530,106.0,3,Inner Subway Station
1577-0-4-58,1536-0-99-99,1577,1536,125.0,3,Inner Subway Station
1569-0-4-58,1543-0-99-99,1569,1543,92.0,3,Inner Subway Station
1182-0-4-58,1544-0-99-99,1182,1544,118.0,3,Inner Subway Station
1021-0-4-58,1545-0-99-99,1021,1545,87.0,3,Inner Subway Station
1515-0-4-58,1561-0-99-99,1515,1561,42.0,3,Inner Subway Station
1245-0-4-58,1582-0-99-99,1245,1582,105.0,3,Inner Subway Station
1154-0-4-58,1599-0-99-99,1154,1599,132.0,3,Inner Subway Station
1562-0-4-58,1607-0-99-99,1562,1607,76.0,3,Inner Subway Station
1436-0-4-58,1081-0-99-99,1436,1081,117.0,3,Inner Subway Station
1506-0-4-58,1002-0-99-99,1506,1002,99.0,4,Inner Subway Station
1126-0-4-58,1006-0-99-99,1126,1006,81.0,4,Inner Subway Station
1243-0-4-58,1021-0-99-99,1243,1021,99.0,4,Inner Subway Station
1382-0-4-58,1021-0-99-99,1382,1021,136.0,4,Inner Subway Station
